Udise_Code,ClassCode,Total_Seats,RTE_Seats,admitted,Dropout,Retaining
22061710703,C012,0,0,0,0,0
22090611303,C005,20,5,5,0,5
22230200106,C005,0,0,0,0,0
22101109303,C003,13,2,2,0,2
22240204249,C012,0,0,0,0,0
22271502716,C006,0,0,0,0,0
22251904313,C009,0,0,0,0,0
22070324104,C007,0,0,0,0,0
22020302406,C003,0,0,0,0,0
22241204306,C009,52,13,13,2,11
22050807211,C010,0,0,0,0,0
22052303806,C012,0,0,0,0,0
22100716035,C011,0,0,0,0,0
22241608710,C008,0,0,0,0,0
22020106810,C012,0,0,0,0,0
22153310503,C001,30,7,0,0,0
22191211902,C010,0,0,0,0,0
22070320820,C001,40,10,1,0,1
22061906035,C012,0,0,0,0,0
22061707808,C002,0,0,0,0,0
22080101603,C005,32,8,2,0,2
22050914910,C012,0,0,0,0,0
22122517910,C001,40,10,10,0,10
22040217503,C002,16,4,4,0,4
22271809610,C005,0,0,0,0,0
22030113116,C002,13,5,0,0,0
22171205004,C008,30,8,0,0,0
22071113101,C007,0,0,0,0,0
22100706711,C008,20,5,2,0,2
22061308609,C009,0,0,0,0,0
22060102407,C003,0,0,0,0,0
22100608109,C008,60,15,4,0,4
22070320819,C011,0,0,0,0,0
22030400221,C010,10,4,4,0,4
22060708006,C011,0,0,0,0,0
22142700113,C002,80,20,20,0,20
22072514520,C007,18,4,1,0,1
22241209603,C007,16,0,0,0,0
22041515017,C003,40,10,10,0,10
22040909810,C008,0,0,0,0,0
22040200602,C007,0,0,0,0,0
22271804204,C011,0,0,0,0,0
22100726613,C008,38,9,9,0,9
22070308904,C005,40,10,9,0,9
22012003603,C010,0,0,0,0,0
22220803803,C009,30,7,3,0,3
22041508914,C010,0,0,0,0,0
22031000402,C003,0,0,0,0,0
22020200302,C006,40,10,5,0,5
22132700122,C005,0,0,0,0,0
22090204009,C009,30,8,1,0,1
22012201508,C010,0,0,0,0,0
22041513908,C005,28,7,7,0,7
22110402005,C002,26,6,6,0,6
22041515032,C005,70,15,11,0,11
22110436204,C003,0,0,0,0,0
22271707410,C001,0,0,0,0,0
22060105605,C002,60,15,4,0,4
22060405312,C007,0,0,0,0,0
22151722706,C001,40,10,10,0,10
22110813807,C007,0,0,0,0,0
22271502709,C002,0,0,0,0,0
22112203902,C008,0,0,0,0,0
22070300802,C009,0,0,0,0,0
22122509504,C009,32,8,6,0,6
22252300310,C009,0,0,0,0,0
22133017202,C008,60,15,15,0,15
22080106503,C009,0,0,0,0,0
22020600104,C010,61,15,15,0,15
22230303505,C004,14,5,5,0,5
22271901104,C005,40,10,10,0,10
22072511307,C002,40,10,2,0,2
22020110810,C010,40,10,2,0,2
22020300138,C005,80,20,8,1,7
22133006203,C003,0,3,3,2,1
22230305806,C010,0,0,0,0,0
22191218311,C004,32,8,4,0,4
22061902611,C010,0,0,0,0,0
22012011405,C004,25,7,0,0,0
22252301203,C008,0,0,0,0,0
22031312401,C012,0,0,0,0,0
22140134122,C011,0,0,0,0,0
22240201407,C009,40,2,2,0,2
22110419822,C012,0,0,0,0,0
22100720810,C007,0,0,0,0,0
22012300403,C007,0,0,0,0,0
22012011007,C009,0,0,0,0,0
22133016817,C009,0,0,0,0,0
22020506904,C006,40,10,4,0,4
22271402303,C010,0,0,0,0,0
22110402124,C008,0,0,0,0,0
22100605502,C007,0,0,0,0,0
22100726204,C004,20,5,0,0,0
22100715209,C004,70,15,2,0,2
22231208306,C012,0,0,0,0,0
22012309302,C004,40,10,1,0,1
22172807028,C004,0,0,0,0,0
22110418542,C010,0,0,0,0,0
22071510704,C009,0,0,0,0,0
22130300939,C009,40,10,10,0,10
22061701472,C012,0,0,0,0,0
22070328724,C002,0,0,0,0,0
22100615003,C008,13,3,0,0,0
22100716011,C003,87,22,22,0,22
22160808015,C006,34,8,4,0,4
22260908708,C005,63,17,17,0,17
22241008306,C012,0,0,0,0,0
22271414804,C001,48,12,0,0,0
22070309814,C002,0,0,0,0,0
22241006803,C011,0,0,0,0,0
22110400130,C001,4,1,0,0,0
22070600506,C003,0,0,0,0,0
22133005404,C004,20,5,2,0,2
22110424905,C001,20,5,4,0,4
22153302607,C002,12,3,3,0,3
22271701105,C002,0,0,0,0,0
22271502105,C011,0,0,0,0,0
22220100604,C002,0,0,0,0,0
22110428619,C006,0,0,0,0,0
22241014406,C004,0,0,0,0,0
22012005601,C010,30,7,5,0,5
22041508806,C011,0,0,0,0,0
22100712510,C006,15,4,3,1,2
22020708607,C008,10,2,2,0,2
22090511504,C003,30,7,6,0,6
22100719007,C012,0,0,0,0,0
22110600503,C010,0,0,0,0,0
22122515005,C005,20,5,5,0,5
22070300503,C010,0,0,0,0,0
22070322805,C005,40,10,2,0,2
22122800503,C005,0,0,0,0,0
22220106005,C007,6,1,1,0,1
22030704948,C005,40,10,10,0,10
22130305405,C009,0,0,0,0,0
22012000145,C005,0,0,0,0,0
22071100130,C010,30,8,7,0,7
22060702811,C006,0,0,0,0,0
22012004005,C007,0,0,0,0,0
22110424502,C009,24,1,1,0,1
22172500913,C005,50,7,0,0,0
22110402128,C004,25,6,5,0,5
22151710607,C007,50,13,13,3,10
22110422707,C011,0,0,0,0,0
22040205610,C004,0,0,0,0,0
22122810003,C006,16,4,4,2,2
22242002003,C007,40,10,9,0,9
22110440604,C010,0,0,0,0,0
22090812632,C002,30,7,7,0,7
22040315908,C008,11,2,2,0,2
22070300203,C002,30,7,5,0,5
22110429125,C002,40,10,9,0,9
22100703208,C012,0,0,0,0,0
22012005718,C009,0,0,0,0,0
22100605802,C009,0,0,0,0,0
